datetime,site,status,http_code,response_time_sec,error_type
2026-09-15 16:00:36,ACTE,DOWN,200,0.87,content_missing
2026-09-15 16:01:11,Pantis,DOWN,200,1.28,content_missing
2026-09-15 16:08:02,ACTE,UP,200,0.66,
2026-09-15 16:08:05,Pantis,UP,200,1.4,
2026-09-15 18:09:07,ACTE,UP,200,0.78,
2026-09-15 18:09:08,Pantis,UP,200,1.18,
2026-09-15 18:18:02,ACTE,DOWN,200,0.81,content_missing
2026-09-15 18:18:05,Pantis,UP,200,1.72,
2026-09-15 18:25:32,ACTE,DOWN,200,1.02,content_missing
2026-09-15 18:25:34,Pantis,UP,200,1.64,
2026-09-15 18:34:29,ACTE,UP,200,0.96,
2026-09-15 18:34:33,Pantis,UP,200,1.83,
2026-09-15 20:19:52,ACTE,UP,200,0.87,
2026-09-15 20:19:54,Pantis,UP,200,1.45,
2026-09-15 23:17:02,ACTE,UP,200,0.74,
2026-09-15 23:17:04,Pantis,UP,200,1.26,
2026-09-16 01:54:47,ACTE,UP,200,0.84,
2026-09-16 01:54:49,Pantis,UP,200,1.51,
2026-09-16 03:51:28,ACTE,DOWN,,0.19,connection_error
2026-09-16 03:51:31,Pantis,UP,200,1.56,
2026-09-16 08:21:33,ACTE,UP,200,1.05,
2026-09-16 08:21:36,Pantis,UP,200,1.42,
2026-09-16 13:02:59,ACTE,UP,200,1.06,
2026-09-16 13:03:01,Pantis,UP,200,1.72,
2026-09-16 17:47:03,ACTE,UP,200,1.04,
2026-09-16 17:47:05,Pantis,UP,200,1.46,
2026-09-16 21:27:42,ACTE,UP,200,0.98,
2026-09-16 21:27:44,Pantis,UP,200,1.22,
2026-09-17 00:29:57,ACTE,UP,200,0.95,
2026-09-17 00:30:00,Pantis,UP,200,1.5,
2026-09-17 02:44:16,ACTE,UP,200,1.01,
2026-09-17 02:44:18,Pantis,UP,200,1.59,
2026-09-17 04:42:29,ACTE,UP,200,0.74,
2026-09-17 04:42:31,Pantis,UP,200,1.29,
2026-09-17 09:38:33,ACTE,UP,200,1.01,
2026-09-17 09:38:35,Pantis,UP,200,1.72,
2026-09-17 15:01:15,ACTE,UP,200,0.81,
2026-09-17 15:01:17,Pantis,UP,200,1.32,
2026-09-17 19:32:34,ACTE,UP,200,1.02,
2026-09-17 19:32:37,Pantis,UP,200,1.33,
2026-09-17 22:48:27,ACTE,UP,200,0.89,
2026-09-17 22:48:29,Pantis,UP,200,1.45,
2026-09-18 01:26:52,ACTE,UP,200,1.02,
2026-09-18 01:26:55,Pantis,UP,200,1.61,
2026-09-18 03:31:47,ACTE,UP,200,0.8,
2026-09-18 03:31:49,Pantis,UP,200,1.28,
2026-09-18 08:03:00,ACTE,UP,200,1.09,
2026-09-18 08:03:02,Pantis,UP,200,1.74,
2026-09-18 12:34:49,ACTE,UP,200,0.8,
2026-09-18 12:34:51,Pantis,UP,200,1.32,
2026-09-18 16:46:23,ACTE,UP,200,0.72,
2026-09-18 16:46:25,Pantis,UP,200,1.32,
2026-09-18 20:14:33,ACTE,UP,200,0.78,
2026-09-18 20:14:35,Pantis,UP,200,1.34,
2026-09-18 22:35:40,ACTE,UP,200,0.98,
2026-09-18 22:35:42,Pantis,UP,200,1.35,
2026-09-19 00:48:40,ACTE,UP,200,0.73,
2026-09-19 00:48:41,Pantis,UP,200,1.3,
2026-09-19 02:37:02,ACTE,UP,200,0.75,
2026-09-19 02:37:04,Pantis,UP,200,1.49,
2026-09-19 04:31:59,ACTE,UP,200,0.73,
2026-09-19 04:32:01,Pantis,UP,200,1.17,
2026-09-19 09:25:58,ACTE,UP,200,0.85,
2026-09-19 09:26:00,Pantis,UP,200,1.41,
2026-09-19 14:14:42,ACTE,UP,200,0.65,
2026-09-19 14:14:44,Pantis,UP,200,1.25,
2026-09-19 17:25:19,ACTE,UP,200,0.86,
2026-09-19 17:25:21,Pantis,UP,200,1.43,
2026-09-19 20:20:12,ACTE,UP,200,1.07,
2026-09-19 20:20:15,Pantis,UP,200,1.78,
2026-09-19 22:22:09,ACTE,UP,200,0.94,
